probe_id,gene_symbol,log2FC,mean_a,mean_b,t_stat,p_value,adj_p_value
1566957_at,,0.0342648,6.33735,6.30309,0.269898,0.787711,0.859488
1565242_at,TNXB,0.008631,4.21972,4.21109,0.269805,0.787789,0.859556
1563643_at,,-0.0066435,3.65773,3.66437,-0.269787,0.787843,0.859588
234458_at,ANPEP,0.00964367,4.3583,4.34866,0.26972,0.787849,0.859588
210172_at,SF1,0.0510895,5.11677,5.06568,0.269738,0.787894,0.85962
238370_x_at,,0.00705117,3.43442,3.42737,0.269441,0.788066,0.859756
1556516_at,BC042022 /// LOC100506331,0.00791933,3.99863,3.99071,0.269454,0.788054,0.859756
233601_at,BC130595,0.0171532,6.32867,6.31152,0.269452,0.788063,0.859756
237989_at,IGFBP1,0.00695717,3.80505,3.79809,0.269326,0.78815,0.85983
1552757_s_at,C9orf66,0.0118235,4.59143,4.5796,0.269303,0.788194,0.859861
1564466_at,SOX9-AS1,0.00599767,3.58247,3.57647,0.269217,0.788241,0.859895
1562398_at,,0.00718467,3.84631,3.83913,0.269192,0.788275,0.859915
201227_s_at,NDUFB8,0.0206833,11.2047,11.184,0.269017,0.788392,0.860026
216286_at,,0.006834,3.72775,3.72091,0.268913,0.788467,0.860073
242647_at,USP34,0.0334537,5.4235,5.39005,0.268923,0.788461,0.860073
241064_at,RP11-456O19.2,0.0119912,4.98856,4.97657,0.268905,0.788496,0.860088
1560703_at,LYRM9,0.0213455,4.78893,4.76758,0.268783,0.788566,0.86013
223409_at,FOXK2,0.0150625,5.75351,5.73845,0.268805,0.788566,0.86013
206282_at,NEUROD1,0.007506,3.54794,3.54043,0.268881,0.78861,0.860161
1563145_at,LINC00301,0.00625333,3.83914,3.83289,0.268448,0.788827,0.860328
203109_at,UBE2M,-0.0299805,8.89923,8.92921,-0.268485,0.788803,0.860328
237263_at,,0.00930383,4.54344,4.53414,0.268521,0.788786,0.860328
232455_x_at,LOC340085,0.0241667,6.11114,6.08698,0.268464,0.788821,0.860328
241174_at,AP4E1,-0.0112502,4.22532,4.23657,-0.268385,0.788871,0.86036
214693_x_at,NBPF10 /// NBPF14 /// NBPF26 /// NBPF9,-0.0407215,8.46292,8.50364,-0.268337,0.788911,0.860386
205255_x_at,TCF7,-0.035353,8.71257,8.74792,-0.268246,0.789009,0.860475
220400_at,VPS13B,-0.00832017,4.32489,4.33321,-0.268096,0.789131,0.860591
223898_at,ZNF670,-0.0246853,5.16573,5.19042,-0.267922,0.789245,0.860698
227073_at,MAP3K2,0.0230772,7.22335,7.20027,0.267743,0.789373,0.86082
1556473_at,FLJ38379,0.00577267,3.50935,3.50358,0.267659,0.789446,0.860883
231581_at,LINC00664,0.00488517,3.5622,3.55732,0.267586,0.789515,0.86092
235068_at,ZDHHC21,0.0349862,7.12306,7.08807,0.267701,0.789504,0.86092
235795_at,PAX6,0.0105172,3.50026,3.48974,0.267758,0.789527,0.86092
232781_at,LHX4,-0.0093685,4.52901,4.53838,-0.267478,0.789594,0.860976
