gene_symbol,log2FC_GSE19804,adj_p_value_GSE19804,log2FC_GSE10072,adj_p_value_GSE10072,sig_a,sig_b,combined_rank
RAI2,-1.43049,4.62598e-14,-1.47061,1.91131e-28,True,True,530
BIRC5,1.65772,1.52973e-12,1.28118,5.827e-15,True,True,530
KRT15,1.16147,2.15413e-07,1.81551,1.1735e-09,True,True,531
NRN1,-1.81758,9.7172e-15,-1.19625,3.27695e-17,True,True,532
METTL7A,-1.21215,1.13079e-13,-1.68517,7.95211e-26,True,True,532
FBLN5,-1.35026,1.9761e-11,-1.51894,2.70222e-25,True,True,533
CAMK2N1,-1.43413,3.25292e-11,-1.44959,1.17338e-13,True,True,538
OGN,-2.19402,1.28218e-10,-1.03089,6.64311e-12,True,True,540
FXYD6,-1.41874,4.26666e-19,-1.46266,3.61477e-30,True,True,540
LIMS2,-1.22493,6.21901e-20,-1.6278,2.91357e-23,True,True,542
KANK3,-2.01436,8.1717e-30,-1.08951,1.89352e-20,True,True,542
ITGA8,-1.65859,1.37557e-14,-1.24913,3.04265e-15,True,True,545
PLOD2,1.16124,1.26681e-08,1.73783,7.90547e-19,True,True,546
SLPI,-1.14138,1.99803e-05,-1.81406,4.09155e-13,True,True,546
PID1,-1.29118,1.37099e-10,-1.53584,7.27289e-24,True,True,547
CEBPD,-1.91921,1.7181e-11,-1.13714,4.78914e-12,True,True,548
CD52,-1.25515,5.4541e-09,-1.55703,3.61907e-15,True,True,549
SEMA5A,-1.43757,6.21901e-20,-1.42605,9.63367e-26,True,True,549
HSPB8,-1.42866,1.27402e-12,-1.43418,1.48352e-22,True,True,551
DES,-1.4548,1.6589e-16,-1.41745,1.83326e-18,True,True,552
NME1,1.14763,8.26655e-16,1.74771,6.87991e-29,True,True,552
MAD2L1,1.4531,2.51563e-09,1.42074,2.68819e-15,True,True,552
IGFBP3,1.17137,1.35995e-08,1.67065,2.13199e-17,True,True,553
SYNM,-1.73798,7.37386e-18,-1.1899,6.67527e-25,True,True,557
SPARCL1,-1.27137,3.43881e-12,-1.5334,3.74892e-23,True,True,558
ICAM2,-1.27846,1.74216e-19,-1.53223,8.07112e-24,True,True,558
RBP4,-1.30569,6.06132e-08,-1.48739,5.16643e-13,True,True,559
PAICS,1.16781,1.71818e-17,1.6691,1.44971e-24,True,True,559
TBX2,-1.24085,1.43234e-13,-1.54168,6.17386e-26,True,True,560
RGS17,1.91448,7.07643e-12,1.11444,4.97807e-15,True,True,562
ANXA8 /// ANXA8L1,-1.8515,1.47958e-18,-1.13723,7.31993e-13,True,True,565
MMRN2,-1.76368,3.2645e-20,-1.1713,2.77374e-24,True,True,565
MMP9,1.44299,5.37783e-06,1.40508,2.75568e-13,True,True,565
MMP7,1.59903,2.47315e-09,1.26882,1.15343e-06,True,True,566
COX7A1,-1.35562,2.56436e-16,-1.44604,1.0088e-25,True,True,568
NDNF,-1.21721,9.10927e-08,-1.54722,6.28117e-16,True,True,570
LINC00312,-1.74886,3.83848e-16,-1.16864,2.08549e-20,True,True,572
PALMD,-1.53682,6.9464e-14,-1.29491,3.62673e-20,True,True,573
PTGER4,-1.37557,2.72074e-12,-1.4236,2.58934e-16,True,True,575
IGK /// IGKC,1.17927,0.000118123,1.56033,1.642e-08,True,True,576
CRYAB,-1.55874,2.87255e-17,-1.26419,7.95494e-27,True,True,576
VSIG4,-1.16576,1.60653e-08,-1.58396,2.97934e-18,True,True,577
ALDH1A1,-1.08183,1.7383e-05,-1.79185,1.18686e-14,True,True,579
NEDD9,-1.28731,1.03138e-12,-1.46499,1.15075e-15,True,True,582
HOXA5,-1.41303,1.20628e-11,-1.40246,3.35977e-24,True,True,585
ERG,-1.09738,3.60328e-21,-1.70589,5.97313e-26,True,True,586
ITM2A,-1.51531,1.35129e-19,-1.27762,1.08077e-27,True,True,589
PLAU,1.25726,3.56612e-09,1.46373,2.61044e-14,True,True,591
PRC1,1.3594,1.65566e-10,1.41044,6.48234e-13,True,True,591
CA2,-1.10299,0.000865184,-1.66988,6.20293e-17,True,True,594
SPAG4,1.52413,5.60788e-15,1.25761,9.46244e-20,True,True,595
TFAP2A,1.77508,4.90812e-14,1.10592,3.94002e-16,True,True,599
WASF3,-1.55267,2.56721e-13,-1.22229,3.4668e-17,True,True,601
abParts /// IGKC /// IGKV4-1 /// IGKV4-1,1.13558,0.000723542,1.56591,3.28163e-07,True,True,601
COL5A1,1.56477,9.48966e-13,1.21739,1.05258e-10,True,True,602
UBE2C,1.51629,5.1557e-13,1.24814,7.52881e-14,True,True,603
TPSAB1,-1.10651,8.11037e-05,-1.62589,2.22493e-11,True,True,603
TTK,1.66511,2.9627e-10,1.15162,8.41245e-12,True,True,603
CRIM1 /// LOC101929500,-1.2067,1.18362e-14,-1.47551,1.25629e-20,True,True,606
PAPSS2,-1.20756,1.50932e-18,-1.47254,1.01401e-16,True,True,607
PTGDS,-1.50022,1.22316e-09,-1.24279,2.03583e-21,True,True,610
MAFF,-1.61874,6.19747e-14,-1.17032,2.36769e-09,True,True,612
LMO7,-1.80828,1.0728e-16,-1.05636,5.1615e-13,True,True,615
NR4A2,-1.87113,9.51007e-11,-1.02555,9.3099e-06,True,True,619
GATA2,-1.33031,3.1452e-16,-1.3531,4.91845e-20,True,True,623
MYL9,-1.2403,4.30738e-11,-1.42182,1.2415e-16,True,True,625
CXCL12,-1.39052,6.89213e-09,-1.31047,4.44691e-12,True,True,625
CRTAC1,-1.51601,3.14522e-18,-1.20597,3.8202e-21,True,True,626
LINC00341 /// SYNE3,-1.4153,3.58037e-14,-1.30183,3.18367e-23,True,True,628
F2RL1,1.48785,2.97723e-14,1.22432,2.10237e-12,True,True,628
TPSB2,-1.06046,0.000137764,-1.59892,3.50417e-11,True,True,629
NR4A1,-1.60478,2.52162e-16,-1.15802,8.32036e-10,True,True,630
NTRK2,-1.13345,0.000678556,-1.50411,1.22951e-10,True,True,631
EML1,-1.49663,6.90552e-14,-1.20704,1.84879e-21,True,True,632
NR4A3,-1.81899,7.18405e-10,-1.02251,1.15414e-08,True,True,638
FAP,1.35783,2.24301e-09,1.30841,1.4235e-18,True,True,638
CDKN3,1.47029,4.21355e-11,1.21094,2.30027e-15,True,True,640
GADD45B,-1.50333,2.29528e-12,-1.18894,1.05855e-11,True,True,640
SVEP1,-1.49909,8.00393e-16,-1.19231,7.42597e-27,True,True,641
HPGD,-1.15078,0.000276583,-1.46484,1.32962e-09,True,True,641
DSP,1.03544,0.000235516,1.64961,4.61068e-11,True,True,642
KLF6,-1.49032,4.36073e-18,-1.19498,6.65708e-15,True,True,642
C5AR1,-1.51731,5.97582e-10,-1.17429,3.45528e-15,True,True,643
TACC1,-1.11243,2.20748e-18,-1.49806,1.30012e-29,True,True,643
CTNNAL1,-1.17788,1.81772e-15,-1.42791,1.47248e-23,True,True,645
FHL2,1.1629,4.93566e-10,1.44324,2.54976e-17,True,True,646
PDLIM2,-1.12967,2.24047e-18,-1.47907,3.28914e-25,True,True,649
